Gender;Age;Breed;Number;Housing;Zone;Exterior Access;Observations;Timide;Calme;Effrayé;Intelligent;Vigilant;Perséverant;Affectueux;Amical;Solitaire;Brutal;Dominant;Aggressive;Impulsive;Predictable;Distracted
F;1a2;TUV;3;MI;R;0;2;1;5;1;5;5;5;5;5;1;1;1;1;1;5;4
F;Moinsde1;EUR;1;AAB;U;0;2;2;4;2;4;4;5;4;5;2;1;1;1;1;1;4
NSP;1a2;MCO;3;ASB;U;0;2;2;3;2;4;2;4;2;4;3;2;4;2;4;2;3
M;Moinsde1;BRI;1;ASB;U;0;2;1;3;3;4;5;4;4;4;2;1;1;1;2;3;5
M;Moinsde1;BRI;1;MI;R;0;3;1;4;2;5;5;5;5;5;1;1;2;2;2;2;4
F;1a2;SBI;2;MI;R;1;3;4;3;3;4;5;5;5;3;2;2;2;1;3;4;5
M;2a10;BRI;1;MI;R;0;2;5;4;3;3;5;4;3;3;5;1;3;3;1;4;2
M;1a2;BRI;2;MI;R;0;2;1;3;1;3;3;3;3;3;1;2;3;3;3;3;3
M;Moinsde1;EUR;1;MI;R;1;3;4;4;4;5;4;4;4;4;2;2;2;2;4;4;4
M;2a10;BRI;2;ML;R;0;2;1;4;3;3;5;4;5;4;2;2;5;1;2;4;1
F;Moinsde1;CHA;1;ASB;U;0;3;3;3;3;4;4;4;5;3;3;2;2;3;3;4;3
F;Moinsde1;NR;1;MI;PU;0;2;1;3;4;4;2;4;5;5;2;2;4;3;4;3;4
F;Plusde10;EUR;2;MI;R;3;2;4;5;4;3;3;3;5;2;4;1;3;2;3;4;3
F;Moinsde1;NR;4;MI;U;2;2;1;3;1;4;4;3;5;4;1;1;3;4;3;4;2
M;Moinsde1;BRI;2;ASB;U;0;2;1;3;2;4;5;5;3;5;4;1;1;1;2;3;5
M;2a10;EUR;4;ML;U;0;2;1;2;1;4;2;4;5;5;4;4;4;5;5;3;5
F;2a10;EUR;4;ML;U;0;2;1;2;2;5;4;5;5;4;4;2;4;4;3;4;2
F;2a10;EUR;3;AAB;PU;1;3;4;3;3;5;4;4;5;2;1;3;3;1;3;4;5
